Time_ms,Solar Voltage_V,Solar Current_mA,Solar Power_mW,,MPPT Voltage_V,MPPT Current_mA,MPPT Power_mW,MPPT Efficiency_%
66,3.87,1,4,,0,-0.5,0,0
574,3.9,1.6,6,,0,-0.5,0,0
1082,3.61,1.4,6,,0,-0.3,0,0
1590,2.97,0.9,4,,0,-0.5,0,0
2098,2.79,0.9,4,,0,-0.3,0,0
2606,2.56,0.7,4,,0,-0.6,0,0
3114,4.04,1.6,6,,0.04,-0.1,0,0
3622,4.2,16.5,68,,1.22,2.9,4,5.88
4130,5.3,29.1,160,,5.1,24.1,128,80
4638,6.59,28.1,204,,5.26,3.1,16,7.84
5146,7.29,28,210,,5.25,3.2,16,7.62
5654,14.17,34.3,484,,5.25,39.6,210,43.39
6162,15.12,33.6,508,,5.25,39.4,206,40.55
6670,15.31,33.4,514,,5.25,40.2,210,40.86
7178,15.65,32.8,514,,5.25,38.7,196,38.13
7686,15.78,33.2,522,,5.25,39.2,206,39.46
8194,15.85,33.3,528,,5.25,40.1,206,39.02
8702,15.84,32.8,518,,5.25,39.1,206,39.77
9210,15.83,33,522,,5.25,39.2,206,39.46
9718,15.82,33.2,524,,5.25,39.7,210,40.08
10226,15.8,32.9,518,,5.25,40.1,210,40.54
10734,15.77,33.5,524,,5.25,40.1,212,40.46
11242,15.75,33.2,518,,5.25,40.2,210,40.54
11750,15.74,33.1,522,,5.25,40.5,212,40.61
12258,15.72,33.1,518,,5.25,39.8,210,40.54
12766,15.73,32.9,522,,5.25,40.4,212,40.61
13274,15.72,33.1,514,,5.26,40.3,212,41.25
13782,15.71,32.8,514,,5.25,40.2,210,40.86
14290,15.7,33.2,518,,5.25,40.5,212,40.93
14798,15.67,33.2,524,,5.25,40.5,212,40.46
15306,15.64,33.1,518,,5.25,39.7,210,40.54
15814,15.73,19.4,304,,5.26,-0.2,0,0
16322,15.72,19.3,298,,5.26,-0.7,4,1.34
16830,14.83,193.1,2868,,5.21,472.8,2468,86.05
17338,13.98,405.8,5660,,5.15,964.8,4968,87.77
17846,14.07,402.9,5656,,5.15,966.5,4974,87.94
18354,14.05,403.8,5666,,5.15,967.2,4980,87.89
18862,14.08,403.7,5666,,5.15,968.1,4984,87.96
19370,14.1,402.3,5656,,5.16,967.9,4984,88.12
19878,14.1,402.1,5672,,5.15,968.6,4988,87.94
20386,14.07,403.1,5676,,5.15,969.3,4990,87.91
20894,14.04,403.9,5672,,5.15,968.8,4990,87.98
21402,14,405.3,5676,,5.15,969.7,4990,87.91
21910,13.98,406.4,5678,,5.15,969.5,4990,87.88
22418,14,406.6,5672,,5.15,969.3,4994,88.05
22926,14,405.2,5672,,5.15,968.8,4988,87.94
23434,14,406.1,5676,,5.15,969.3,4990,87.91
23942,14.01,405.7,5662,,5.15,969.7,4998,88.27
24450,13.98,406.2,5668,,5.15,969.6,4994,88.11
24958,13.94,407,5676,,5.15,970.3,4998,88.05
25466,13.92,407.5,5676,,5.15,970,4998,88.05
25974,13.89,409,5676,,5.15,970,4994,87.98
26482,13.89,408.5,5676,,5.15,969.9,4994,87.98
26990,13.91,408.7,5672,,5.15,969.5,4990,87.98
27498,13.9,408.9,5678,,5.15,968.3,4984,87.78
28006,13.88,409.4,5672,,5.15,969.9,4990,87.98
28514,13.9,409.4,5666,,5.15,969.8,4994,88.14
29022,13.86,409.8,5662,,5.15,968.8,4994,88.2
29530,13.85,409.7,5666,,5.15,968.7,4988,88.03
30038,13.85,408.8,5662,,5.15,969.9,4994,88.2
30546,14.76,195,2874,,5.21,475.6,2480,86.29
31054,14.03,363.6,5112,,5.16,919.3,4742,92.76
31562,13.79,411.1,5666,,5.15,969.4,4988,88.03
32070,13.77,412.9,5676,,5.15,969,4994,87.98
32578,13.73,414.4,5676,,5.16,970.4,4998,88.05
33086,13.72,413,5662,,5.15,969.1,4990,88.13
33594,14.58,197.6,2870,,5.21,477.2,2484,86.55
34102,14.39,198.8,2850,,5.21,475,2470,86.67
34610,13.6,416.9,5656,,5.15,967.8,4980,88.05
35118,13.64,415.8,5646,,5.16,969,4994,88.45
35626,13.67,415.2,5652,,5.15,967.5,4984,88.18
36134,13.65,415.7,5662,,5.15,969.1,4988,88.1
36642,13.64,415.6,5662,,5.15,971.1,4994,88.2
37150,13.64,415.5,5666,,5.15,970.8,4998,88.21
37658,13.6,416.4,5668,,5.15,969.2,4984,87.93
38166,13.58,416.6,5666,,5.15,970.9,4994,88.14
38674,13.59,418.1,5678,,5.15,968.3,4984,87.78
39182,13.59,418.1,5682,,5.15,970.7,4998,87.96
39690,13.59,417.2,5672,,5.15,970.8,4998,88.12
40198,13.59,417.4,5652,,5.15,971.6,5000,88.46
40706,13.58,417.9,5660,,5.15,970.6,4994,88.23
41214,13.56,419.7,5662,,5.15,971.2,5000,88.31
41722,13.58,419.6,5666,,5.15,972.6,5000,88.25
42230,13.57,419.2,5656,,5.15,970.7,4994,88.3
42738,13.58,419.1,5678,,5.15,971.6,4998,88.02
43246,13.54,420.3,5676,,5.15,971.9,5014,88.34
43754,13.52,420.1,5660,,5.15,972.1,5004,88.41
44262,13.52,419.9,5672,,5.15,972.3,5000,88.15
44770,13.52,419.5,5672,,5.15,971.1,5000,88.15
45278,13.49,420.3,5666,,5.15,971.5,4998,88.21
45786,13.46,422.4,5672,,5.15,972.3,5008,88.29
46294,13.46,422.1,5686,,5.15,971.8,5000,87.94
46802,13.44,422.8,5678,,5.15,972.7,5010,88.24
47310,13.44,423.1,5672,,5.15,972.5,5008,88.29
47818,13.44,424.1,5678,,5.15,972.5,5010,88.24
48326,13.44,422.9,5668,,5.16,972.3,5008,88.36
48834,13.39,425.4,5678,,5.15,973,5010,88.24
49342,13.39,424.6,5682,,5.15,971.2,5000,88
49850,13.39,424.5,5676,,5.15,972,5004,88.16
50358,13.4,425.3,5668,,5.16,973,5014,88.46
50866,13.37,425.4,5668,,5.15,972.4,5008,88.36
51374,13.35,424.7,5660,,5.15,971.9,5008,88.48
51882,13.39,424.9,5660,,5.15,972.5,5010,88.52
52390,13.38,426,5662,,5.16,972.9,5004,88.38
52898,13.38,424.9,5672,,5.15,973.3,5014,88.4
53406,13.37,425.3,5666,,5.15,972.3,5008,88.39
53914,13.36,425.8,5668,,5.15,973.3,5000,88.21
54422,13.36,424.6,5678,,5.15,971.7,5004,88.13
54930,13.34,425.5,5676,,5.15,972.5,5010,88.27
55438,13.32,426.5,5672,,5.15,972,5004,88.22
55946,13.28,428.1,5682,,5.15,973.3,5010,88.17
56454,13.28,427.1,5676,,5.15,972.7,5008,88.23
56962,13.26,427.9,5672,,5.15,972,5004,88.22
57470,13.27,428.5,5682,,5.15,973.4,5010,88.17
57978,13.26,428.4,5678,,5.15,973.4,5010,88.24
58486,13.22,428.8,5668,,5.15,972,5000,88.21
58994,13.23,428.9,5672,,5.15,972.8,5008,88.29
59502,13.23,429.4,5682,,5.15,972.3,5008,88.14
60010,13.22,429.1,5672,,5.15,972.4,5008,88.29
60518,13.19,430.5,5672,,5.15,972,5004,88.22
61026,13.18,431.4,5686,,5.15,972.4,5004,88.01
61534,13.16,430.7,5672,,5.15,972,5004,88.22
62042,13.17,431.7,5672,,5.15,973.9,5008,88.29
62550,13.17,430.9,5678,,5.15,972,5004,88.13
63058,13.16,431.9,5672,,5.15,973,5010,88.33
63566,13.16,432,5666,,5.15,973.2,5010,88.42
64074,13.19,430.9,5678,,5.15,973.4,5008,88.2
64582,13.17,432,5676,,5.15,972,5008,88.23
65090,13.18,432.6,5672,,5.16,973.9,5014,88.4
65598,13.14,433.8,5668,,5.16,973.8,5014,88.46
66106,13.13,432.2,5676,,5.15,973,5014,88.34
66614,13.15,433.6,5676,,5.16,974.4,5014,88.34
67122,13.14,432.8,5652,,5.16,972.6,5010,88.64
67630,13.12,433.9,5672,,5.15,972.5,5010,88.33
68138,13.12,433.8,5678,,5.15,973.4,5016,88.34
68646,13.13,433.9,5668,,5.15,972.3,5008,88.36
69154,13.14,432.6,5676,,5.15,973.5,5010,88.27
69662,13.11,433.8,5678,,5.16,973.1,5010,88.24
70170,13.1,433,5656,,5.15,973.3,5010,88.58
70678,13.09,434,5660,,5.15,971.9,5004,88.41
71186,13.08,434.2,5672,,5.15,972.5,5008,88.29
71694,13.08,433.8,5668,,5.15,972.9,5008,88.36
72202,13.04,435,5666,,5.15,973.3,5008,88.39
72710,13.03,435.7,5676,,5.15,972.3,5010,88.27
73218,13.02,435.5,5676,,5.15,972.4,5000,88.09
73726,13.03,434.8,5666,,5.15,972.3,5010,88.42
74234,13.02,435.9,5672,,5.15,972.6,5008,88.29
74742,13.01,436.1,5678,,5.15,972.6,5014,88.31
75250,12.98,436.7,5668,,5.15,973,5010,88.39
75758,12.98,436.7,5662,,5.15,972.4,5004,88.38
76266,12.98,437.2,5672,,5.15,972,5008,88.29
76774,12.96,437.6,5672,,5.15,972,5004,88.22
77282,12.92,438,5662,,5.16,971.9,5008,88.45
77790,12.93,438.9,5672,,5.16,971.5,5004,88.22
78298,12.95,438.4,5678,,5.15,972.4,5010,88.24
78806,12.92,439.2,5666,,5.15,972.8,5004,88.32
79314,12.91,439.7,5678,,5.15,972.8,5004,88.13
79822,12.92,439.3,5672,,5.15,972,5008,88.29
80330,12.94,439.3,5666,,5.16,972,5008,88.39
80838,12.93,439.5,5668,,5.16,972.8,5008,88.36
81346,12.9,439.8,5666,,5.15,972.4,5008,88.39
81854,12.89,440.8,5656,,5.16,971.8,5008,88.54
82362,12.91,440.5,5666,,5.15,971.9,5004,88.32
82870,12.89,440.2,5666,,5.15,972.3,5010,88.42
83378,12.9,440.9,5662,,5.16,971.9,5004,88.38
83886,12.88,441.2,5642,,5.15,971.4,5010,88.8
84394,12.9,439.6,5662,,5.16,970.9,4998,88.27
84902,12.92,439.8,5652,,5.15,973.2,5008,88.61
85410,12.9,440.5,5650,,5.15,971.5,5004,88.57
85918,12.86,441,5660,,5.15,971.2,5004,88.41
86426,12.86,442.1,5660,,5.15,971.7,5008,88.48
86934,12.86,442,5646,,5.15,972,5000,88.56
87442,12.86,440.7,5660,,5.15,972.1,5014,88.59
87950,12.84,441.6,5660,,5.15,972.1,5004,88.41
88458,12.85,442.9,5656,,5.15,972.6,5008,88.54
88966,12.85,442.2,5662,,5.15,972,5004,88.38
89474,12.86,441.5,5666,,5.15,972.2,5004,88.32
89982,12.86,442.4,5652,,5.15,972.2,5004,88.54
90490,12.83,442.6,5656,,5.16,972.3,5010,88.58
90998,12.8,443.1,5660,,5.15,971.5,5000,88.34
91506,12.81,443.6,5650,,5.15,971.7,5010,88.67
92014,12.8,443.3,5660,,5.15,971.6,5000,88.34
92522,12.8,443.2,5668,,5.15,973.2,4998,88.18
93030,12.81,443,5646,,5.15,972,5008,88.7
93538,12.82,443.2,5650,,5.15,971.5,5000,88.5
94046,12.83,442.2,5662,,5.15,972.5,5014,88.56
94554,14.62,19.1,278,,5.27,-0.3,0,0
95062,14.6,18.9,276,,5.26,-0.2,0,0
95570,14.61,19,278,,5.26,-0.3,0,0
96078,14.61,18.8,276,,5.26,0,0,0
96586,14.6,19,276,,5.26,-0.3,0,0
97094,14.6,19,276,,5.26,-0.1,0,0
97602,14.12,18.9,266,,5.26,-0.3,0,0
98110,10.48,15.8,164,,5.26,-0.2,4,2.44
98618,8.11,11.3,92,,5.26,-0.1,0,0
99126,8.01,11.3,92,,5.26,-0.3,0,0
99634,8.01,11.2,88,,5.26,-0.6,4,4.55
100142,8.04,11.1,88,,5.26,-0.3,0,0
100650,8.03,11.2,88,,5.26,-0.2,0,0
101158,8.01,11.3,92,,5.26,-0.2,0,0
101666,8.03,11.4,92,,5.26,-0.1,0,0
102174,8.05,11.3,92,,5.26,-0.3,0,0
102682,8.06,11.3,92,,5.26,-0.5,0,0
103190,8.05,11.4,92,,5.26,-0.4,4,4.35
103698,8.03,11.4,92,,5.26,-0.4,4,4.35
104206,8,11.1,88,,5.26,-0.4,4,4.55
104714,8.07,11,92,,5.26,-0.5,4,4.35
105222,8.06,11,92,,5.26,-0.3,0,0
105730,8.05,11.2,92,,5.26,0,0,0
106238,8.06,11.2,88,,5.26,-0.1,0,0
106746,8.08,11,88,,5.26,-0.2,0,0
107254,8.13,11.1,88,,5.26,-0.3,0,0
